2025-07-28 06:27:21,464 INFO    MainThread:2549 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-28 06:27:21,465 INFO    MainThread:2549 [wandb_setup.py:_flush():80] Configure stats pid to 2549
2025-07-28 06:27:21,465 INFO    MainThread:2549 [wandb_setup.py:_flush():80] Loading settings from /root/.config/wandb/settings
2025-07-28 06:27:21,465 INFO    MainThread:2549 [wandb_setup.py:_flush():80] Loading settings from /mym3d/petar/wandb/settings
2025-07-28 06:27:21,465 INFO    MainThread:2549 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-28 06:27:21,465 INFO    MainThread:2549 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /mym3d/petar/wandb/offline-run-20250728_062721-cfoynppg/logs/debug.log
2025-07-28 06:27:21,465 INFO    MainThread:2549 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /mym3d/petar/wandb/offline-run-20250728_062721-cfoynppg/logs/debug-internal.log
2025-07-28 06:27:21,465 INFO    MainThread:2549 [wandb_init.py:init():830] calling init triggers
2025-07-28 06:27:21,465 INFO    MainThread:2549 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-07-28 06:27:21,465 INFO    MainThread:2549 [wandb_init.py:init():871] starting backend
2025-07-28 06:27:21,670 INFO    MainThread:2549 [wandb_init.py:init():874] sending inform_init request
2025-07-28 06:27:21,672 INFO    MainThread:2549 [wandb_init.py:init():882] backend started and connected
2025-07-28 06:27:21,672 INFO    MainThread:2549 [wandb_init.py:init():953] updated telemetry
2025-07-28 06:27:21,676 INFO    MainThread:2549 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-28 06:27:21,823 INFO    MainThread:2549 [wandb_init.py:init():1029] starting run threads in backend
2025-07-28 06:27:21,909 INFO    MainThread:2549 [wandb_run.py:_console_start():2458] atexit reg
2025-07-28 06:27:21,910 INFO    MainThread:2549 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-28 06:27:21,910 INFO    MainThread:2549 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-28 06:27:21,910 INFO    MainThread:2549 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-28 06:27:21,911 INFO    MainThread:2549 [wandb_init.py:init():1075] run started, returning control to user process
